ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
97345,"Vclav Penika, Sr.",M,29,170,104,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Weightlifting,Weightlifting Men's Heavyweight,Silver
97364,Jasna Ptujec,F,25,176,72,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Women's Handball,Gold
97369,Iztok Puc,M,22,196,105,Yugoslavia,YUG,1988 Summer,1988,Summer,Seoul,Handball,Handball Men's Handball,Bronze
97369,Iztok Puc,M,29,196,105,Croatia,CRO,1996 Summer,1996,Summer,Atlanta,Handball,Handball Men's Handball,Gold
97372,Josephine Pucci,F,23,173,68,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
97376,Alessandro Puccini,M,27,172,74,Italy,ITA,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's Foil, Individual",Gold
97388,Aleksandr Nikolayevich Puchkov,M,23,190,88,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's 110 metres Hurdles,Bronze
97389,Nikolay Georgiyevich Puchkov,M,25,178,82,Soviet Union,URS,1956 Winter,1956,Winter,Cortina d'Ampezzo,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
97389,Nikolay Georgiyevich Puchkov,M,30,178,82,Soviet Union,URS,1960 Winter,1960,Winter,Squaw Valley,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
97400,Ivan Pudar,M,22,191,86,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Bronze
97405,Buttree Puedpong,F,17,157,49,Thailand,THA,2008 Summer,2008,Summer,Beijing,Taekwondo,Taekwondo Women's Flyweight,Silver
97416,Alejandro Puerto Daz,M,27,160,57,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
97439,Olha Oleksandrivna Puhovska,F,33,150,49,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Eights,Silver
97443,Maricica Puic (Luca-),F,34,168,54,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Women's 1,500 metres",Bronze
97443,Maricica Puic (Luca-),F,34,168,54,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Athletics,"Athletics Women's 3,000 metres",Gold
97449,Monica Puig Marchn,F,22,170,64,Puerto Rico,PUR,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Women's Singles,Gold
97452,Jari Markus Puikkonen,M,20,180,68,Finland,FIN,1980 Winter,1980,Winter,Lake Placid,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Bronze
